Release_Date,Species,Host,Tissue_Specimen_Source,Collection_Date
2023-05-04,Pestivirus bovis,,,
2023-05-04,Pestivirus tauri,Bos taurus,,2004-12-08
2023-05-04,Rodent pestivirus,Apodemus peninsulae,,2014-08
2023-05-04,Rodent pestivirus,Niviventer niviventer,,2014-12
2023-05-04,Pestivirus S,Scotophilus kuhlii,,2017-07
2023-05-04,Pestivirus sp.,Ovis aries,,2017-12
2023-05-04,Pestivirus P,,,2018
2023-05-04,Pestivirus M,Phocoena phocoena,lung,2012
2018-08-24,Pestivirus suis,,,
2018-08-24,Pestivirus scrofae,Sus scrofa,,2014-04-09
2018-08-24,Pestivirus tauri,,,
2017-07-19,Pestivirus L,Sus scrofa,,2015
2016-07-25,Pestivirus scrofae,Sus scrofa,,2015
2014-11-19,Norway rat pestivirus,Rattus norvegicus,,2013-06-30
2014-04-21,Pestivirus antilocaprae,Antilocapra americana,,
2014-01-02,Pestivirus australiaense,,,
2012-10-04,Pestivirus aydinense,Ovis aries,,2004
2009-06-17,Pestivirus brazilense,Bos taurus,,2004
2001-01-28,Pestivirus suis,,,
1999-10-16,Pestivirus giraffae,Giraffa camelopardalis,,
1998-05-15,Pestivirus ovis,,,
1993-08-02,Pestivirus bovis,,,
2024-10-02,Pestivirus bovis,Bos taurus,lung,2024-03
2024-09-25,Pestivirus suis,Sus scrofa,,2024-06-01
2024-09-14,Pestivirus O,Ovis aries,,2021
2024-08-15,Pestivirus suis,,,
2024-08-15,Pestivirus sp.,Bos taurus,,2023
2024-08-15,Pestivirus sp.,Bos taurus,,2023
2024-07-14,Pestivirus bovis,Bos taurus,lung,2023-12
2024-06-30,Pestivirus bovis,Bos taurus,,2022
2024-06-29,Pestivirus suis,Sus scrofa,,2019-04
2024-06-18,Pestivirus bovis,Bos taurus,,2023-02-20
2024-06-18,Pestivirus bovis,Bos taurus,,2023-02-27
2024-06-18,Pestivirus bovis,Bos taurus,,2023-04-25
2024-06-18,Pestivirus bovis,Bos taurus,,2023-05
2024-06-18,Pestivirus bovis,Bos taurus,,2023-05-27
2024-05-27,Pestivirus tauri,Bos taurus,"liver, abdominal cavity",2023-05-01
2024-05-18,Pestivirus bovis,Bos taurus,feces,2023
2024-04-29,Pestivirus bovis,Bos taurus,blood,2023
2024-04-24,Pestivirus sp.,Sus scrofa,blood,2023-05-18
2024-04-22,Pestivirus bovis,Bos taurus,,2023
2024-03-26,Pestivirus bovis,Bos taurus,feces,2023
2024-03-19,Pipistrellus bat pestivirus,Pipistrellus abramus,swab,2020
2024-03-19,Rhinolophus bat pestivirus,Rhinolophus ferrumequinum,swab,2020
2024-03-19,Scotophilus bat pestivirus,Scotophilus kuhlii,swab,2018
2024-03-19,Scotophilus bat pestivirus,Scotophilus kuhlii,swab,2017
2024-03-19,Pipistrellus bat pestivirus,Pipistrellus abramus,swab,2020
2024-03-19,Pipistrellus bat pestivirus,Pipistrellus abramus,swab,2020
2024-02-14,Pestivirus bovis,Bos taurus,blood,2023-07
2024-02-06,Pestivirus bovis,Bos taurus,feces,2021
2024-02-05,Pestivirus suis,Sus scrofa,,2021-09-12
2024-02-05,Pestivirus suis,Sus scrofa,,2022-06-22
