Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
NC_076029,Bovine viral diarrhea virus 1-SD1,RefSeq,GCF_013088505.1,"Deng,R., Brock,K.V.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Pestivirus bovis,12308,complete,,,,,
NC_076032,Bovine viral diarrhea virus 2,RefSeq,GCF_013088565.1,"Zhu,L., Lin,Y., Ding,X., Zhang,G., Zhu,G.","National Center for Biotechnology Information, NIH",USA,2023-05-04,,Pestivirus tauri,12284,complete,China,,Bos taurus,,2004-12-08
NC_077000,Rodent pestivirus,RefSeq,GCF_029883675.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-04,RtAp-PestV/JL2014,Rodent pestivirus,12768,complete,China,,Apodemus peninsulae,,2014-08
NC_077001,Rodent pestivirus,RefSeq,GCF_029883705.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-04,RtNn-PestV/HuB2014,Rodent pestivirus,13220,complete,China,,Niviventer niviventer,,2014-12
NC_077015,Bat pestivirus BtSk-PestV-1/GX2017,RefSeq,GCF_029884225.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-04,BtSk-PestV-1/GX2017,Pestivirus S,11921,complete,China,,Scotophilus kuhlii,,2017-07
NC_077023,Pestivirus sp.,RefSeq,GCF_029884895.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-04,ovine/It/338710-3/2017,Pestivirus sp.,12173,complete,Italy,,Ovis aries,,2017-12
NC_077024,Dongyang pangolin virus,RefSeq,GCF_029884905.1,"Gao,W.-H., Tan,Z.-Z., Chen,Y.-M., Zhang,Y.-Z.","National Center for Biotechnology Information, NIH",USA,2023-05-04,DYAJ1,Pestivirus P,12443,complete,China,,,,2018
NC_077026,Phocoena pestivirus,RefSeq,GCF_029884925.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-04,NS170385,Pestivirus M,11880,complete,Netherlands,,Phocoena phocoena,lung,2012
NC_038912,Classical swine fever virus - Alfort/187,RefSeq,GCF_003034095.1,"Ruggli,N., Tratschin,J.D., Mittelholzer,C., Hofmann,M.A., Moser,C., Mitchell,D., Hofmann,M.","National Center for Biotechnology Information, NIH",USA,2018-08-24,,Pestivirus suis,12298,complete,,,,,
NC_038964,Porcine pestivirus 1,RefSeq,GCF_003029075.1,"Hause,B.M., Collin,E.A., Peddireddi,L., Fang,Y., Hesse,R.A., Anderson,G.","National Center for Biotechnology Information, NIH",USA,2018-08-24,,Pestivirus scrofae,11276,complete,USA,,Sus scrofa,,2014-04-09
NC_039237,Bovine viral diarrhea virus 2,RefSeq,GCF_003029635.1,"Ridpath,J.F., Bolin,S.R.","National Center for Biotechnology Information, NIH",USA,2018-08-24,890,Pestivirus tauri,12513,complete,,,,,
NC_035432,Linda virus,RefSeq,GCF_002223795.1,"Lamp,B., Schwarz,L., Hogler,S., Riedel,C., Sinn,L., Rebel-Bauder,B., Weissenbock,H., Ladinig,A., Rumenapf,T., Ruemenapf,T.","National Center for Biotechnology Information, NIH",USA,2017-07-19,,Pestivirus L,12614,complete,Austria,,Sus scrofa,,2015
NC_030653,Atypical porcine pestivirus 1,RefSeq,GCF_001695485.1,"Postel,A., Hansmann,F., Baechlein,C., Fischer,N., Alawi,M., Grundhoff,A., Derking,S., Tenhundfeld,J., Pfankuche,V.M., Herder,V., Baumgartner,W., Wendt,M., Becher,P.","National Center for Biotechnology Information, NIH",USA,2016-07-25,Bavaria S5/9,Pestivirus scrofae,10908,complete,Germany,,Sus scrofa,,2015
