id	domain_name	start	end	evalue	score	description
NC_076029.1/1-11697/Bovine_viral_diarrhea_virus_1-SD1_polyprotein_gene	Pestivirus_E2	693	1064	5.6e-233	772.7	Pestivirus envelope glycoprotein E2
NC_076029.1/1-11697/Bovine_viral_diarrhea_virus_1-SD1_polyprotein_gene	Peptidase_S31	1589	1800	3.3e-147	487.7	Pestivirus NS3 polyprotein peptidase S31
NC_076029.1/1-11697/Bovine_viral_diarrhea_virus_1-SD1_polyprotein_gene	Peptidase_C74	1322	1522	2.2e-133	442.2	Pestivirus NS2 peptidase
NC_076029.1/1-11697/Bovine_viral_diarrhea_virus_1-SD1_polyprotein_gene	Peptidase_C53	0	168	5.5e-113	374.6	Pestivirus Npro endopeptidase C53
NC_076029.1/1-11697/Bovine_viral_diarrhea_virus_1-SD1_polyprotein_gene	Flav_NS3-hel_C	2133	2275	3.5e-34	117.9	Flavivirus NS3 helicase, C-terminal helical domain
NC_076029.1/1-11697/Bovine_viral_diarrhea_virus_1-SD1_polyprotein_gene	Capsid_pestivir	172	228	3.7e-32	110.3	Capsid protein C, pestivirus
NC_076029.1/1-11697/Bovine_viral_diarrhea_virus_1-SD1_polyprotein_gene	RdRP_3	3457	3688	2e-20	73.2	Viral RNA dependent RNA polymerase
NC_076029.1/1-11697/Bovine_viral_diarrhea_virus_1-SD1_polyprotein_gene	RdRP_1	3517	3681	1.9e-10	40.4	Viral RNA-dependent RNA polymerase
NC_076029.1/1-11697/Bovine_viral_diarrhea_virus_1-SD1_polyprotein_gene	DEAD	1812	1945	1.2e-09	38.4	DEAD/DEAH box helicase
NC_076029.1/1-11697/Bovine_viral_diarrhea_virus_1-SD1_polyprotein_gene	DEAD	1985	2040	1.2e-09	38.4	DEAD/DEAH box helicase
NC_076029.1/1-11697/Bovine_viral_diarrhea_virus_1-SD1_polyprotein_gene	Helicase_C	1827	1874	1.4e-09	38.4	Helicase conserved C-terminal domain
NC_076029.1/1-11697/Bovine_viral_diarrhea_virus_1-SD1_polyprotein_gene	Helicase_C	1984	2099	1.4e-09	38.4	Helicase conserved C-terminal domain
NC_076029.1/1-11697/Bovine_viral_diarrhea_virus_1-SD1_polyprotein_gene	Helicase_C	3419	3456	1.4e-09	38.4	Helicase conserved C-terminal domain
NC_076029.1/1-11697/Bovine_viral_diarrhea_virus_1-SD1_polyprotein_gene	Flavi_DEAD	1806	1947	6.1e-09	36.3	Flavivirus DEAD domain
NC_076029.1/1-11697/Bovine_viral_diarrhea_virus_1-SD1_polyprotein_gene	Flavi_DEAD	1988	2011	6.1e-09	36.3	Flavivirus DEAD domain
NC_076029.1/1-11697/Bovine_viral_diarrhea_virus_1-SD1_polyprotein_gene	RdRP_4	3546	3680	0.00036	19.9	Viral RNA-directed RNA-polymerase
NC_076029.1/1-11697/Bovine_viral_diarrhea_virus_1-SD1_polyprotein_gene	DUF3149	1121	1131	0.00063	19.5	Protein of unknown function (DUF3149)
NC_076029.1/1-11697/Bovine_viral_diarrhea_virus_1-SD1_polyprotein_gene	DUF3149	1193	1215	0.00063	19.5	Protein of unknown function (DUF3149)
NC_076029.1/1-11697/Bovine_viral_diarrhea_virus_1-SD1_polyprotein_gene	ResIII	1805	1943	0.0034	17.6	Type III restriction enzyme, res subunit
NC_076029.1/1-11697/Bovine_viral_diarrhea_virus_1-SD1_polyprotein_gene	Flavi_NS5_thumb	3670	3762	0.0078	16.4	Flavivirus RNA-directed RNA polymerase, thumb domain
NC_076032.1/1-11694/Bovine_viral_diarrhea_virus_2_strain_XJ-04	Pestivirus_E2	694	1062	2.4e-174	579.7	Pestivirus envelope glycoprotein E2
NC_076032.1/1-11694/Bovine_viral_diarrhea_virus_2_strain_XJ-04	Peptidase_S31	1587	1798	8.4e-138	457.0	Pestivirus NS3 polyprotein peptidase S31
NC_076032.1/1-11694/Bovine_viral_diarrhea_virus_2_strain_XJ-04	Peptidase_C74	1320	1520	2.1e-98	328.0	Pestivirus NS2 peptidase
NC_076032.1/1-11694/Bovine_viral_diarrhea_virus_2_strain_XJ-04	Peptidase_C53	0	168	6.5e-84	280.0	Pestivirus Npro endopeptidase C53
NC_076032.1/1-11694/Bovine_viral_diarrhea_virus_2_strain_XJ-04	Flav_NS3-hel_C	2131	2272	6e-31	107.4	Flavivirus NS3 helicase, C-terminal helical domain
NC_076032.1/1-11694/Bovine_viral_diarrhea_virus_2_strain_XJ-04	Capsid_pestivir	173	227	1.6e-25	89.0	Capsid protein C, pestivirus
NC_076032.1/1-11694/Bovine_viral_diarrhea_virus_2_strain_XJ-04	RdRP_3	3457	3685	1.1e-23	84.0	Viral RNA dependent RNA polymerase
NC_076032.1/1-11694/Bovine_viral_diarrhea_virus_2_strain_XJ-04	Helicase_C	1980	2097	2.1e-10	41.1	Helicase conserved C-terminal domain
